ID,Epic,Task,Description,Priority,Phase,Phase Dates,Est. Hours,PRD Ref,Acceptance Criteria,Dependencies,Status
8.5,Frontend,Build previs viewer/share page,Playback page for the final durable previs link,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,4,FR8,Page plays the assembled sequence and displays the shareable link,7.4,Not Started
9.1,Reliability Hardening,End-to-end fallback test,Simulate a provider failure at every stage and confirm the run still completes,P0,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 12 / NFR Reliability,All 3 pipeline stages complete successfully under a forced primary-provider failure,"6.5, 3.3",Not Started
9.2,Reliability Hardening,Check latency budgets,Measure draft vs premium tier timing per stage against expectations,P1,Phase 3 - Hardening & Testing,Jul 27-30,2,NFR Latency,Documented timing for each stage and tier,9.1,Not Started
9.3,Reliability Hardening,Add error boundaries + messaging,User-facing error handling across the app,P1,Phase 3 - Hardening & Testing,Jul 27-30,3,Section 12,No unhandled crash states during a forced-failure test pass,1.6,Not Started
9.4,Reliability Hardening,Full scene stress test,Run one complete 5-6 shot scene through the entire pipeline end to end,P0,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 14 MVP scope,A full scene completes from description to shareable previs URL with no manual intervention,"7.4, 9.1",Not Started
10.1,Consumer Testing,Recruit test users,3-5 users spanning filmmaker ad creator and film student personas,P0,Phase 3 - Hardening & Testing,Jul 27-30,2,Section 4,Sessions scheduled with at least 3 confirmed participants,None,Not Started
10.2,Consumer Testing,Write test script,Task list covering describe edit refine lock and view previs,P0,Phase 3 - Hardening & Testing,Jul 27-30,1,Section 5,Script covers all 6 core experience steps,None,Not Started
10.3,Consumer Testing,Run moderated test sessions,Observe users completing the script and capture friction points,P0,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 13,Sessions completed with notes captured for each participant,"10.1, 10.2, 9.4",Not Started
10.4,Consumer Testing,Triage feedback,Sort findings into must-fix vs backlog,P0,Phase 3 - Hardening & Testing,Jul 27-30,1,N/A,Prioritized fix list exists,10.3,Not Started
10.5,Consumer Testing,Implement critical fixes,Address must-fix issues found in testing,P0,Phase 3 - Hardening & Testing,Jul 27-30,6,N/A,All must-fix items resolved and re-verified,10.4,Not Started
10.6,Consumer Testing,Validate success metrics,Check time-to-previs and refine-convergence against real test sessions,P1,Phase 3 - Hardening & Testing,Jul 27-30,1,Section 13,Metrics recorded for at least 3 sessions,10.3,Not Started
8.6,Frontend,Build multi-take fan-out UI,Let user generate and pick between parallel takes of a locked shot,P2,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 9.3 use case 3,User can trigger 2-3 parallel takes and select one,6.2,Not Started
8.7,Frontend,Responsive/visual polish pass,General UI cleanup across all screens,P1,Phase 3 - Hardening & Testing,Jul 27-30,4,N/A,No major visual breakage on a standard laptop viewport,8.5,Not Started
11.1,Submission Prep,Write Devpost text description,"Features, B2 usage, Genblaze usage, and full providers/models list",P0,Phase 4 - Video & Submission,Jul 31-Aug 3,3,Submission Reqs,Draft covers all 4 required elements from the official rules,"0.3, 0.6",Not Started
11.2,Submission Prep,Finalize GitHub README,Full setup instructions and architecture summary,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,A fresh clone can be set up following only the README,0.5,Not Started
11.3,Submission Prep,Create test account if needed,Login credentials and instructions if the app requires auth,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Submission Reqs,Test account works end-to-end for a judge with no prior context,None,Not Started
11.4,Submission Prep,Confirm live app uptime through judging period,Verify hosting cost and stability through Aug 11 judging end,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Official Rules Sec 4 Testing,Hosting plan confirmed to remain live and free to access through Aug 11,None,Not Started
11.5,Submission Prep,File Genblaze SDK feedback issues,Submit 1-2 real bug reports or feature requests found during the build,P1,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Feedback Prize,At least 1 issue filed on the Genblaze GitHub repo,0.3,Not Started
11.6,Submission Prep,Final QA on live submitted URL,End-to-end pass on the exact URL that will be submitted,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,Full pipeline run succeeds on production URL immediately before submission,9.4,Not Started
12.1,Demo Video,Write video script,Script and shot list for a sub-3-minute demo,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,Script timed at under 3 minutes when read aloud,None,Not Started
12.2,Demo Video,Choose demo scene,Pick a visually compelling scene that shows multi-shot plus refine plus lock plus event trigger plus fallback,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,N/A,Scene selected and pre-tested end to end,9.4,Not Started
12.3,Demo Video,Screen-record full pipeline run,Capture the actual live app performing the demo scene,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,3,N/A,Clean recording of the full flow with no crashes,"12.1, 12.2",Not Started
12.4,Demo Video,Record narration,"Voiceover explicitly explaining B2 and Genblaze usage, tied to judging criteria",P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,Narration explicitly names how B2 and Genblaze are used,12.1,Not Started
12.5,Demo Video,Edit video,"Cut footage, add captions and titles, tighten to under 3 minutes",P1,Phase 4 - Video & Submission,Jul 31-Aug 3,3,Official Rules,Final cut is under 3:00 total runtime,"12.3, 12.4",Not Started
12.6,Demo Video,Upload to YouTube or Vimeo,Public unlisted-not-allowed visibility with no copyrighted music,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Official Rules,Video is publicly viewable at a stable URL,12.5,Not Started
12.7,Demo Video,Add video link to submission form,Attach the final video URL to the Devpost submission,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Submission Reqs,Link is present and playable on the submitted Devpost entry,12.6,Not Started
